user_id,persona,age,gender,sleep_avg_hours,screen_time_hours,work_study_hours,wellness_points,primary_stressors,stress_score
usr_00001,Working Woman,36,Female,6.6,5.8,8.1,74,"Invisible Load, Sleep Deprivation, Imposter Syndrome, Career-Home Balance",0.542
usr_00002,Parent,52,Female,6.0,2.4,7.0,21,"Financial Pressure, Time Management, Teen Disconnect, Chronic Illness",0.563
usr_00003,Corporate,46,Male,5.2,6.0,7.9,61,"Burnout, Clinical Anxiety, Financial Pressure, Manager Toxicity, Sedentary Lifestyle",0.781
usr_00004,Parent,43,Female,6.0,3.1,5.9,38,"Chronic Illness, Financial Pressure, Invisible Load, Relationship Friction",0.654
usr_00005,Exam Warrior,18,Female,3.9,4.6,12.7,43,"Academic Overload, Sleep Deprivation, Burnout, Exam Anxiety",1.0
usr_00006,Corporate,29,Male,5.8,6.1,7.2,5,"Financial Pressure, Time Management, Meeting Fatigue, Sedentary Lifestyle",0.562
usr_00007,Exam Warrior,18,Male,6.1,3.7,11.3,79,"Fear of Failure, Burnout, Exam Anxiety, Sleep Deprivation",0.826
usr_00008,Corporate,39,Male,6.4,5.6,6.8,28,"Burnout, Meeting Fatigue, Financial Pressure, Sedentary Lifestyle, Clinical Anxiety",0.75
usr_00009,Corporate,22,Male,4.5,3.4,10.6,34,"Sedentary Lifestyle, Burnout, Time Management, Financial Pressure, Meeting Fatigue",0.778
usr_00010,Teen,15,Male,6.0,6.4,5.4,33,"Dietary Neglect, Depressive Mood, Time Management, Fear of Failure, Academic Overload",0.649
usr_00011,Teen,18,Male,8.0,9.4,4.9,46,"Depressive Mood, Social Media, Dietary Neglect, Peer Pressure",0.57
usr_00012,Parent,32,Female,5.8,2.0,7.7,50,"Teen Disconnect, Financial Pressure, Invisible Load, Relationship Friction, Time Management",0.592
usr_00013,Teen,16,Female,6.1,7.8,6.0,28,"Depressive Mood, Fear of Failure, Peer Pressure, Dietary Neglect, Time Management",0.722
usr_00014,Working Woman,34,Female,5.8,3.5,9.3,5,"Sleep Deprivation, Imposter Syndrome, Invisible Load, Career-Home Balance",0.714
usr_00015,Working Woman,33,Female,7.4,4.2,8.0,96,"Career-Home Balance, Burnout, Sleep Deprivation, Imposter Syndrome",0.606
usr_00016,Teen,13,Female,6.0,6.1,3.4,96,"Depressive Mood, Fear of Failure, Social Media, Peer Pressure",0.58
usr_00017,Parent,41,Male,6.4,3.5,11.4,61,"Invisible Load, Career-Home Balance, Relationship Friction, Time Management",0.63
usr_00018,Teen,14,Non-binary,7.0,4.0,3.7,80,"Peer Pressure, Time Management, Fear of Failure, Dietary Neglect",0.37
usr_00019,Parent,48,Non-binary,6.1,2.9,10.2,1,"Relationship Friction, Time Management, Invisible Load, Financial Pressure, Chronic Illness",0.745
usr_00020,Corporate,47,Non-binary,6.6,3.8,8.1,37,"Manager Toxicity, Financial Pressure, Sedentary Lifestyle, Meeting Fatigue",0.568
usr_00021,Corporate,55,Female,5.3,5.6,8.6,69,"Sedentary Lifestyle, Time Management, Meeting Fatigue, Manager Toxicity, Burnout",0.671
usr_00022,Corporate,24,Female,4.8,5.6,7.6,32,"Burnout, Clinical Anxiety, Financial Pressure, Manager Toxicity, Meeting Fatigue",0.915
usr_00023,Exam Warrior,15,Female,4.8,4.2,14.3,6,"Time Management, Imposter Syndrome, Academic Overload, Exam Anxiety",0.999
usr_00024,Working Woman,37,Female,6.2,5.6,6.1,47,"Burnout, Financial Pressure, Relationship Friction, Imposter Syndrome, Sleep Deprivation",0.765
usr_00025,Working Woman,26,Female,6.3,4.9,6.6,47,"Sleep Deprivation, Relationship Friction, Invisible Load, Imposter Syndrome",0.55
usr_00026,Parent,51,Female,7.1,4.5,8.4,98,"Teen Disconnect, Career-Home Balance, Relationship Friction, Financial Pressure, Chronic Illness",0.658
usr_00027,Teen,15,Non-binary,5.8,5.0,1.5,60,"Depressive Mood, Dietary Neglect, Fear of Failure, Peer Pressure",0.521
usr_00028,Teen,16,Female,6.1,5.0,5.9,6,"Dietary Neglect, Depressive Mood, Fear of Failure, Peer Pressure",0.649
usr_00029,Parent,48,Male,7.1,6.7,5.6,29,"Career-Home Balance, Financial Pressure, Chronic Illness, Teen Disconnect",0.672
usr_00030,Corporate,29,Female,6.0,7.7,9.0,68,"Time Management, Burnout, Financial Pressure, Meeting Fatigue, Manager Toxicity",0.764
usr_00031,Working Woman,37,Female,4.9,4.6,8.2,36,"Invisible Load, Career-Home Balance, Financial Pressure, Relationship Friction",0.753
usr_00032,Corporate,52,Female,5.6,6.7,11.4,66,"Financial Pressure, Time Management, Burnout, Manager Toxicity",0.738
usr_00033,Exam Warrior,15,Male,4.6,4.9,10.2,89,"Imposter Syndrome, Academic Overload, Sleep Deprivation, Fear of Failure",0.708
usr_00034,Teen,13,Male,7.5,10.2,4.2,49,"Time Management, Dietary Neglect, Academic Overload, Peer Pressure, Fear of Failure",0.56
usr_00035,Teen,17,Male,6.3,6.8,3.1,62,"Depressive Mood, Fear of Failure, Academic Overload, Dietary Neglect",0.602
usr_00036,Parent,53,Female,6.1,4.3,8.1,52,"Chronic Illness, Relationship Friction, Teen Disconnect, Financial Pressure, Invisible Load",0.65
usr_00037,Working Woman,33,Female,6.0,4.6,7.9,93,"Imposter Syndrome, Invisible Load, Financial Pressure, Career-Home Balance",0.547
usr_00038,Parent,54,Male,5.3,0.6,6.5,89,"Teen Disconnect, Invisible Load, Time Management, Financial Pressure",0.526
usr_00039,Corporate,44,Male,5.7,5.7,9.3,95,"Burnout, Meeting Fatigue, Clinical Anxiety, Manager Toxicity",0.668
usr_00040,Teen,17,Male,9.5,8.9,3.2,15,"Depressive Mood, Academic Overload, Peer Pressure, Time Management, Fear of Failure",0.73
usr_00041,Parent,36,Male,5.9,2.7,7.5,61,"Financial Pressure, Relationship Friction, Time Management, Invisible Load, Teen Disconnect",0.579
usr_00042,Working Woman,26,Female,5.1,3.9,3.6,32,"Sleep Deprivation, Burnout, Imposter Syndrome, Relationship Friction",0.725
usr_00043,Corporate,44,Male,6.0,6.6,13.0,15,"Time Management, Financial Pressure, Burnout, Sedentary Lifestyle, Clinical Anxiety",0.932
usr_00044,Exam Warrior,15,Female,6.4,4.0,12.6,32,"Imposter Syndrome, Burnout, Exam Anxiety, Fear of Failure, Sleep Deprivation",1.0
usr_00045,Teen,17,Female,6.8,8.1,5.3,80,"Time Management, Academic Overload, Peer Pressure, Depressive Mood",0.492
usr_00046,Exam Warrior,19,Female,5.0,3.1,12.9,28,"Burnout, Academic Overload, Fear of Failure, Exam Anxiety",1.0
usr_00047,Working Woman,42,Female,6.1,4.6,11.0,98,"Relationship Friction, Financial Pressure, Invisible Load, Sleep Deprivation, Imposter Syndrome",0.637
usr_00048,Teen,15,Male,8.5,5.9,5.7,36,"Social Media, Peer Pressure, Depressive Mood, Academic Overload",0.53
usr_00049,Working Woman,38,Female,7.1,5.0,7.6,61,"Burnout, Career-Home Balance, Relationship Friction, Invisible Load, Financial Pressure",0.718
usr_00050,Working Woman,37,Female,4.5,3.0,9.1,94,"Invisible Load, Burnout, Imposter Syndrome, Sleep Deprivation, Career-Home Balance",0.792
usr_00051,Working Woman,40,Female,5.1,4.0,8.8,51,"Sleep Deprivation, Relationship Friction, Financial Pressure, Burnout, Invisible Load",0.808
usr_00052,Parent,52,Female,7.1,3.8,8.0,38,"Career-Home Balance, Financial Pressure, Teen Disconnect, Chronic Illness",0.596
usr_00053,Exam Warrior,19,Female,7.0,3.9,11.6,6,"Exam Anxiety, Time Management, Sleep Deprivation, Academic Overload, Burnout",0.959
